Monday			
1	386	Submodularity on Hypergraphs: From Sets to Sequences	Mitrovic, Marko
2	139	Regional Multi-Armed Bandits	Shen, Cong
3	49	On the challenges of learning with inference networks on sparse, high-dimensional data	Krishnan, Rahul
4	68	Integral Transforms from Finite Data: An Application of Gaussian Process Regression to Fourier Analysis	Ambrogioni, Luca
5	16	Combinatorial Preconditioners for Proximal Algorithms on Graphs	Möllenhoff, Thomas
6	641	Near-Optimal Machine Teaching via Explanatory Teaching Sets	Chen, Yuxin
7	503	Factorized Recurrent Neural Architectures for Longer Range Dependence	Belletti, Francois
8	192	Nonparametric Preference Completion	Katz-Samuels, Julian
9	648	HONES: A Fast and Tuning-free Homotopy Method For Online Newton Step	Ye, Yuting
10	431	Robustness of classifiers to uniform \ell_p and Gaussian noise	Fawzi, Alhussein
11	250	Slow and Stale Gradients Can Win the Race: Error-Runtime Trade-offs in Distributed SGD	Dutta, Sanghamitra
12	611	Comparison Based Learning from Weak Oracles	Kazemi, Ehsan
13	459	Teacher Improves Learning by Selecting a Training Subset	Zhu, Xiaojin
14	649	Probability–Revealing Samples	Onak, Krzysztof
15	95	Topic Compositional Neural Language Model	Wang, Wenlin
16	564	Reducing Crowdsourcing to Graphon Estimation, Statistically	Lee, Christina
17	637	Nonparametric Bayesian sparse graph linear dynamical systems	Zhou, Mingyuan
18	378	Learning Structural Weight Uncertainty with Stein Gradient Flows	Li, Chunyuan
19	613	The Binary Space Partitioning-Tree Process	Fan, Xuhui
20	296	Robust Maximization of Non-Submodular Objectives	Bogunovic, Ilija 
21	112	FLAG n’ FLARE: Fast Linearly-Coupled Adaptive Gradient Methods	Roosta, Fred
22	255	Resampled Proposal Distributions for Variational Inference and Learning	Grover, Aditya
23	639	Proximity Variational Inference	Altosaar, Jaan
24	10	An Analysis of Categorical Distributional Reinforcement Learning	Rowland, Mark
25	595	Parallel and Distributed MCMC via Shepherding Distributions	Chowdhury, Arkabandhu
26	594	Inference in Sparse Graphs with Pairwise Measurements and Side Information	Foster, Dylan
27	60	IHT dies hard: Provable accelerated Iterative Hard Thresholding	Kyrillidis, Anastasios
28	86	High-dimensional Bayesian optimization via additive models with overlapping groups	Rolland, Paul
29	643	Learning Hidden Quantum Markov Models	Srinivasan, Siddarth
30	614	On denoising noisy modulo 1 samples of a function	Cucuringu, Mihai 
31	410	A Generic Approach for Escaping Saddle points	Zaheer, Manzil
32	211	Nonlinear Weighted Finite Automata	Li, Tianyu
33	210	Few-shot Generative Modelling with Generative Matching Networks	Bartunov, Sergey
34	354	A Stochastic Differential Equation Framework for Guiding Online User Activities in Closed Loop	Wang, Yichen
35	122	Personalized and Private Peer-to-Peer Machine Learning	Bellet, Aurélien
36	629	Matrix-normal models for fMRI analysis	Shvartsman, Michael
37	8	A Fast Algorithm for Separated Sparsity via Perturbed Lagrangians	Mitrovic, Slobodan
38	247	One-shot Coresets: The Case of k-Clustering	Bachem, Olivier
39	40	Iterative Supervised Principal Components	Piironen, Juho
40	298	Cause-Effect Inference by Comparing Regression Errors	Bloebaum, Patrick
41	578	Graphical Models for Non-Negative Data Using Generalized Score Matching	Yu, Shiqing
42	257	Best arm identification in multi-armed bandits with delayed and partial feedback	Grover, Aditya
43	557	Approximate Bayesian Computation with Kullback-Leibler Divergence as Data Discrepancy	Jiang, Bai
44	665	A Unified Dynamic Approach to Sparse Model Selection	Huang, Chendi
45	522	On Statistical Optimality of Variational Bayes	Pati, Debdeep
46	500	Stochastic algorithms for entropy-regularized optimal transport problems	Abid, Brahim Khalil
47	45	Can clustering scale sublinearly with its clusters? A variational EM acceleration of GMMs and k-means	Forster, Dennis
48	526	Learning Generative Models with Sinkhorn Divergences	Genevay, Aude
49	471	Product Kernel Interpolation for Scalable Gaussian Processes	Gardner, Jacob
50	539	Solving lp-norm regularization with tensor kernels	Salzo, Saverio
51-54	Orals papers in Monday morning		
Tuesday Morning			
1	408	Structured Factored Inference for Probabilistic Programming	OConnor, Alison
2	546	Weighted Tensor Decomposition for Learning Latent Variables with Partial Data	Gottesman, Omer
3	30	Making Tree Ensembles Interpretable: A Bayesian Model Selection Approach	Hara, Satoshi
4	65	Finding Global Optima in Nonconvex Stochastic Semidefinite Optimization with Variance Reduction	ZENG, Jinshan
5	502	Plug-in Estimators for Conditional Expectations and Probabilities	Grunewalder, Steffen
6	411	Policy Evaluation and Optimization with Continuous Treatments	Kallus, Nathan
7	125	Tensor Regression Meets Gaussian Processes	Yu, Rose
